NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name
3503651	AFUA_6G00310	serine carboxypeptidase (CpdS), putative	Aspergillus fumigatus Af293	
3503652	AFUA_6G00300	serine palmitoyltransferase 1, putative	Aspergillus fumigatus Af293	
3503653	AFUA_6G00290	aminotransferase, putative	Aspergillus fumigatus Af293	
3503654	AFUA_6G00280	NmrA-like family protein	Aspergillus fumigatus Af293	
3503656	AFUA_6G00200	C6 transcription factor, putative	Aspergillus fumigatus Af293	
3503661	AFUA_6G00160	Ser/Thr protein phosphatase family protein	Aspergillus fumigatus Af293	
3503664	AFUA_6G00390	aminotransferase, putative	Aspergillus fumigatus Af293	
3503666	AFUA_6G00370	aminotransferase, putative	Aspergillus fumigatus Af293	
3503667	AFUA_6G00360	DUF453 domain protein	Aspergillus fumigatus Af293	
3503669	AFUA_6G00640	integral membrane protein	Aspergillus fumigatus Af293	
3503670	AFUA_6G00630	MFS transporter, putative	Aspergillus fumigatus Af293	
3503674	AFUA_6G00580	ankyrin repeat protein	Aspergillus fumigatus Af293	
3503677	AFUA_6G00130	MFS transporter, putative	Aspergillus fumigatus Af293	
3503678	AFUA_6G00120	C6 transcription factor, putative	Aspergillus fumigatus Af293	
3503679	AFUA_6G00110	dihydrodipicolinate synthetase family protein	Aspergillus fumigatus Af293	
3503681	AFUA_6G00770	extracellular arabinanase, putative	Aspergillus fumigatus Af293	
3503687	AFUA_6G00670	extracellular serine-rich protein	Aspergillus fumigatus Af293	
3503688	AFUA_6G00660	FAD binding domain protein	Aspergillus fumigatus Af293	
3503690	AFUA_6G00260	phosphatidylserine decarboxylase family protein	Aspergillus fumigatus Af293	
3503691	AFUA_6G00250	GPI anchored protein, putative	Aspergillus fumigatus Af293	
3503692	AFUA_6G00240	4-hydroxyphenylpyruvate dioxygenase, putative	Aspergillus fumigatus Af293	
3503693	AFUA_6G00230	NmrA-like family protein	Aspergillus fumigatus Af293	
3503694	AFUA_6G00220	fungal specific transcription factor, putative	Aspergillus fumigatus Af293	
3503695	AFUA_6G00210	monocarboxylate transporter, putative	Aspergillus fumigatus Af293	
3503696	AFUA_6G00760	glutathione S-transferase, putative	Aspergillus fumigatus Af293	
3503697	AFUA_6G00750	pyruvate decarboxylase, putative	Aspergillus fumigatus Af293	
3503700	AFUA_6G00720	LysM domain protein, putative	Aspergillus fumigatus Af293	
3503701	AFUA_6G00710	MFS transporter, putative	Aspergillus fumigatus Af293	
3503702	AFUA_4G01260	mitochondrial chaperone ATPase (Bcs1), putative	Aspergillus fumigatus Af293	
3503705	AFUA_4G01230	GABA permease, putative	Aspergillus fumigatus Af293	
3503708	AFUA_4G01200	extracellular guanyl-specific ribonuclease, putative	Aspergillus fumigatus Af293	
3503710	AFUA_4G00970	IMP-specific 5'-nucleotidase (Isn1), putative	Aspergillus fumigatus Af293	
3503711	AFUA_4G00960	6-phosphofructokinase alpha subunit	Aspergillus fumigatus Af293	
3503712	AFUA_4G00950	RNA polymerase II mediator complex component SRB4, putative	Aspergillus fumigatus Af293	
3503713	AFUA_4G00940	oxidoreductase, short chain dehydrogenase/reductase family, putative	Aspergillus fumigatus Af293	
3503714	AFUA_4G00930	CorA family metal ion transporter, putative	Aspergillus fumigatus Af293	
3503715	AFUA_4G01040	short chain dehydrogenase, putative	Aspergillus fumigatus Af293	
3503717	AFUA_4G01020	sensor histidine kinase/response regulator, putative	Aspergillus fumigatus Af293	
3503718	AFUA_4G01010	C6 transcription factor, putative	Aspergillus fumigatus Af293	
3503719	AFUA_4G01000	MFS transporter, putative	Aspergillus fumigatus Af293	
3503720	AFUA_4G00990	MFS quinate transporter, putative	Aspergillus fumigatus Af293	
3503721	AFUA_4G00140	RTA1 domain protein, putative	Aspergillus fumigatus Af293	
3503723	AFUA_4G00120	MFS transporter, putative	Aspergillus fumigatus Af293	
3503724	AFUA_4G00110	TfdA family taurine dioxygenase, putative	Aspergillus fumigatus Af293	
3503725	AFUA_4G00100	rhamnogalacturonase, putative	Aspergillus fumigatus Af293	
3503726	AFUA_4G00210	polyketide synthase, putative	Aspergillus fumigatus Af293	
3503727	AFUA_4G00200	F-box domain protein	Aspergillus fumigatus Af293	
3503729	AFUA_4G00180	fatty acid oxygenase, putative	Aspergillus fumigatus Af293	
3503731	AFUA_4G00160	short-chain dehydrogenase, putative	Aspergillus fumigatus Af293	
3503732	AFUA_4G00150	MFS maltose transporter, putative	Aspergillus fumigatus Af293	
3503734	AFUA_4G00260	MFS transporter, putative	Aspergillus fumigatus Af293	
3503735	AFUA_4G00250	WD40 repeat protein	Aspergillus fumigatus Af293	
3503736	AFUA_4G00240	amino acid transporter, putative	Aspergillus fumigatus Af293	
3503737	AFUA_4G00230	oxidoreductase, 2OG-Fe(II) oxygenase family, putative	Aspergillus fumigatus Af293	
3503738	AFUA_4G00220	metallo-beta-lactamase domain protein	Aspergillus fumigatus Af293	
3503741	AFUA_4G00320	sensor histidine kinase/response regulator, putative	Aspergillus fumigatus Af293	
3503744	AFUA_4G00290	succinyl-CoA synthetase beta subunit, putative	Aspergillus fumigatus Af293	
3503746	AFUA_4G00400	O-methyltransferase, putative	Aspergillus fumigatus Af293	
3503747	AFUA_4G00390	glycosyl hydrolase, putative	Aspergillus fumigatus Af293	
3503749	AFUA_4G00370	general amidase, putative	Aspergillus fumigatus Af293	
3503752	AFUA_4G00480	MFS multidrug transporter, putative	Aspergillus fumigatus Af293	
3503753	AFUA_4G00470	MFS multidrug transporter, putative	Aspergillus fumigatus Af293	
3503754	AFUA_4G00460	chlorohydrolase family protein, putative	Aspergillus fumigatus Af293	
3503756	AFUA_4G00440	short chain dehydrogenase, putative	Aspergillus fumigatus Af293	
3503757	AFUA_4G00430	isoamyl alcohol oxidase, putative	Aspergillus fumigatus Af293	
3503760	AFUA_4G00540	dynamin GTPase, putative	Aspergillus fumigatus Af293	
3503766	AFUA_4G00600	integral membrane protein	Aspergillus fumigatus Af293	
3503767	AFUA_4G00590	monooxygenase, putative	Aspergillus fumigatus Af293	
3503769	AFUA_4G00570	MFS multidrug transporter, putative	Aspergillus fumigatus Af293	
3503770	AFUA_4G00560	NAD binding Rossmann fold oxidoreductase, putative	Aspergillus fumigatus Af293	
3503771	AFUA_4G00550	MFS transporter, putative	Aspergillus fumigatus Af293	
3503772	AFUA_4G00660	sensor histidine kinase/response regulator, putative	Aspergillus fumigatus Af293	
3503774	AFUA_4G00640	macrophomate synthase, putative	Aspergillus fumigatus Af293	
3503775	AFUA_4G00630	aminotransferase, putative	Aspergillus fumigatus Af293	
3503776	AFUA_4G00620	cell wall glycosyl hydrolase Dfg5, putative	Aspergillus fumigatus Af293	
3503777	AFUA_4G00610	aryl-alcohol dehydrogenase, putative	Aspergillus fumigatus Af293	
3503778	AFUA_4G01550	aldehyde dehydrogenase, putative	Aspergillus fumigatus Af293	
3503779	AFUA_4G01530	salicylate hydroxylase, putative	Aspergillus fumigatus Af293	
3503781	AFUA_4G01520	gentisate 1,2-dioxygenase, putative	Aspergillus fumigatus Af293	
3503782	AFUA_4G01510	C6 transcription factor, putative	Aspergillus fumigatus Af293	
3503783	AFUA_4G01500	lignostilbene dioxygenase, putative	Aspergillus fumigatus Af293	
3503784	AFUA_4G01490	fumarylacetoacetate hydrolase family protein	Aspergillus fumigatus Af293	
3503785	AFUA_4G01480	MFS transporter, putative	Aspergillus fumigatus Af293	
3503786	AFUA_4G01470	C6 finger domain protein, putative	Aspergillus fumigatus Af293	
3503788	AFUA_4G01450	phospho-2-dehydro-3-deoxyheptonate aldolase	Aspergillus fumigatus Af293	
3503797	AFUA_4G01160	von Willebrand domain protein	Aspergillus fumigatus Af293	
3503798	AFUA_4G01150	N,N-dimethylglycine oxidase	Aspergillus fumigatus Af293	
3503799	AFUA_4G01140	MFS multidrug transporter, putative	Aspergillus fumigatus Af293	
3503800	AFUA_4G01130	dienelactone hydrolase family protein	Aspergillus fumigatus Af293	
3503802	AFUA_4G01440	glutathione S-transferase family protein	Aspergillus fumigatus Af293	
3503804	AFUA_4G01420	spore wall assembly protein Dit1, putative	Aspergillus fumigatus Af293	
3503806	AFUA_4G01400	ThiJ/PfpI family protein	Aspergillus fumigatus Af293	
3503811	AFUA_4G00830	MFS peptide transporter, putative	Aspergillus fumigatus Af293	
3503814	AFUA_4G00800	MFS monosaccharide transporter, putative	Aspergillus fumigatus Af293	
3503815	AFUA_4G00730	HHE domain protein	Aspergillus fumigatus Af293	
3503816	AFUA_4G00720	protein phosphatase 2C, putative	Aspergillus fumigatus Af293	
3503817	AFUA_4G00710	C6 transcription factor, putative	Aspergillus fumigatus Af293	
3503818	AFUA_4G00700	zinc-binding oxidoreductase CipB	Aspergillus fumigatus Af293	
3503820	AFUA_4G00680	aquaglyceroporin, putative	Aspergillus fumigatus Af293	
3503821	AFUA_4G00670	nucleoside-diphosphate-sugar epimerases, putative	Aspergillus fumigatus Af293	
3503823	AFUA_4G01310	DUF89 domain protein	Aspergillus fumigatus Af293	
3503824	AFUA_4G01300	UPF0075 family protein	Aspergillus fumigatus Af293	
3503825	AFUA_4G01290	endo-chitosanase, pseudogene	Aspergillus fumigatus Af293	
3503827	AFUA_4G01270	integral membrane protein	Aspergillus fumigatus Af293	
3503828	AFUA_4G01380	4-nitrophenylphosphatase, putative	Aspergillus fumigatus Af293	
3503829	AFUA_4G01370	pyoverdine/dityrosine biosynthesis family protein	Aspergillus fumigatus Af293	
3503830	AFUA_4G01360	MFS transporter of unkown specificity	Aspergillus fumigatus Af293	
3503832	AFUA_4G01340	MFS monosaccharide transporter, putative	Aspergillus fumigatus Af293	
3503833	AFUA_4G01322	C6 transcription factor, putative	Aspergillus fumigatus Af293	
3503834	AFUA_4G00920	MFS pantothenate transporter, putative	Aspergillus fumigatus Af293	
3503835	AFUA_4G00910	short chain oxidoreductase (CsgA), putative	Aspergillus fumigatus Af293	
3503839	AFUA_4G00870	antigenic cell wall galactomannoprotein, putative	Aspergillus fumigatus Af293	
3503845	AFUA_4G01580	ankyrin repeat protein	Aspergillus fumigatus Af293	
3503846	AFUA_4G01570	amino acid transporter, putative	Aspergillus fumigatus Af293	
3503847	AFUA_4G01560	MFS myo-inositol transporter, putative	Aspergillus fumigatus Af293	
3503848	AFUA_4G01110	1,3-beta glucanase, putative	Aspergillus fumigatus Af293	
3503849	AFUA_4G01105	C6 and C2H2 transcription factor, putative	Aspergillus fumigatus Af293	
3503850	AFUA_4G01090	Zn2+ dependent hydrolase, putative	Aspergillus fumigatus Af293	
3503851	AFUA_4G01080	MFS multidrug transporter, putative	Aspergillus fumigatus Af293	
3503852	AFUA_4G01070	acid phosphatase, putative	Aspergillus fumigatus Af293	
3503854	AFUA_4G01050	ABC multidrug transporter, putative	Aspergillus fumigatus Af293	
3503855	AFUA_4G03000	Patatin-like serine hydrolase, putative	Aspergillus fumigatus Af293	
3503857	AFUA_4G03020	chromatin remodeling complex subunit (Arp5), putative	Aspergillus fumigatus Af293	
3503859	AFUA_4G03040	Got1 family protein	Aspergillus fumigatus Af293	
3503860	AFUA_4G03050	profilin Pfy1, putative	Aspergillus fumigatus Af293	
3503862	AFUA_4G03180	nuclear envelope protein Brr6, putative	Aspergillus fumigatus Af293	
3503863	AFUA_4G03190	alpha,alpha-trehalose-phosphate synthase subunit, putative	Aspergillus fumigatus Af293	
3503868	AFUA_4G02870	2-ketogluconate transporter, putative	Aspergillus fumigatus Af293	
3503871	AFUA_4G02900	sensor histidine kinase/response regulator, putative	Aspergillus fumigatus Af293	
3503874	AFUA_4G02930	RNA helicase/RNAse III, putative	Aspergillus fumigatus Af293	
3503875	AFUA_4G02800	haemolysin-III family protein	Aspergillus fumigatus Af293	
3503876	AFUA_4G02810	oxidoreductase, putative	Aspergillus fumigatus Af293	
3503877	AFUA_4G02820	methylisocitrate lyase	Aspergillus fumigatus Af293	
